Ford,Clorox,Chubb,Hormel Food,Grainger,AT&T,AbbVie,Amcor,Ecolab,Pentair
-0.018197334,-0.016112145,-0.011470212,-0.015534722,-0.003919947,-0.008450718,-0.000985681,-0.017773509,-0.012567907,-0.011092781
-0.01429188,-0.005152518,0.013253795,-0.004233651,-0.005020462,-0.002832851,-0.003754045,-0.007411357,0.002416633,-0.010485047
0.001692053,-0.016915198,-0.009898912,-0.016862101,-0.008438092,-0.006403446,-0.01014695,0.016860223,-0.007211937,-0.02745592
0.010929062,-0.002077767,-0.000700055,-0.002795781,0.000284313,0.002851023,0.000799535,0,-0.009102529,0.002104264
0.000835731,-0.024876224,0.000750103,-0.008948114,-0.000696706,0.003552422,0.000133228,-0.01261847,0.006225288,-0.002104264
-0.008389338,0.00219644,-0.0047601,0.000256829,-0.005977438,0.011283569,-0.012868795,-0.014925528,0.000443179,-0.002862951
0.007553607,0.003848969,0.01088977,-0.012400066,0.011749794,-0.007037296,-0.007855993,0.006423952,-0.002939764,0.018538509
-0.017714607,0.02220498,-0.000546719,0.01162946,0.001836684,-0.000706497,-0.003064151,0.003196512,-0.006408733,-0.01492345
0.013525186,0.001035875,0.002284025,0.011749895,0.008615718,-0.002830846,0.000409086,0.002125382,0.008960687,0.008086315
-0.000839943,0.006643251,-0.004274323,0.009100222,-0.006092242,0.007062218,0.005031865,0.011609698,0.00249023,0.008317181
0.012526257,0.009787409,0.00576111,0.001759829,0.010616265,0.038652128,0.001084691,0.018711625,0.011649181,0.018174389
-0.001661135,-0.000191018,-0.000842288,-0.003775055,0.010408165,-0.002711854,0.004934028,0.004110969,0.004469626,0.010546956
0.008278219,-0.00389136,-0.004420931,-0.027349837,-0.015520143,0.004065029,-0.009211695,-0.001026212,-0.000326365,0.009725446
0.000824023,-0.007764115,0.011975634,-0.004935698,-0.004716041,-0.00951097,0.008402243,0.004098438,-0.006057133,0.009913638
-0.004127092,-0.011532402,-0.016016202,-0.019724507,-0.025318534,-0.011671933,-0.014271322,-0.031155234,-0.003344439,-0.028444662
-0.001655719,0.000911901,0.009353292,-0.010681117,0.000764412,0.008937766,-0.003359567,-0.008263203,-0.002584457,0.009523859
-0.009155189,0.013707637,0.010247484,-0.007274712,-0.002526407,0,0.022410329,-0.014107697,0.000330211,-0.007785524
0.028031436,-0.00657175,0.003180861,0.003778667,-0.002692322,-0.014477993,0.000738375,0.010869678,0.002089522,-0.014726417
-0.006525247,-0.002848249,0.008174809,0.006444819,0.002981385,0.008298838,0.000134128,0.019272577,0.009783885,0.010520283
0.018646605,-0.030674362,0.009357487,0.001070029,-0.007921511,-0.004140775,0.001542131,0.001059927,-0.009454384,-0.019224405
0.015145774,-0.015154409,0.007557002,0.00400261,-0.002304159,0.01100426,0.012582181,-0.024666164,-0.010376439,-0.016734279
-0.001583537,0.014151101,0.014109862,0.022644545,0.0163773,0.029651777,0.016273268,0.034154863,-0.014361438,0.014063648
-0.00079275,-0.021986258,0.00103729,-0.004435701,-0.004519979,0.011224863,-0.009942571,-0.019068297,0.001630825,-0.006707956
-0.021644079,-0.024231057,0.008960697,-0.000523185,0.000994999,-0.009234855,0.011893284,-0.007514887,-0.009342937,0.004030174
0.017671199,-0.030307499,0.000747012,0.005479483,-0.003971516,0.007920867,-0.002927502,-0.009745571,0.003010643,-0.010331709
-0.01605176,-0.014405391,-0.002383067,0.009324032,-0.008822389,0.022107503,0.000781467,0.007588094,0.00689577,-0.004827952
-0.013029542,-0.013575647,-0.005958954,0.013825168,-0.003700331,-0.015554362,-0.001172531,-0.016331346,-0.031063845,-0.016161428
0.018677055,-0.014666525,0.002772744,-0.010736411,-0.001437003,-0.012487885,-0.004507236,-0.00660789,-0.000697551,-0.001230399
0.011995262,-0.004533123,-0.003997108,0.000513884,0.012265296,-0.003976131,0.012427348,0.015351141,0.001104189,0.009648622
-0.011995262,-0.012572953,-0.001225799,-0.002057069,-0.006339878,-0.002659565,-0.004796481,-0.009841483,-0.018820343,-0.025001311
-0.00322322,-0.009708927,-0.001605251,-0.013475147,0.021045085,-0.010036945,-0.005080736,-0.007722139,-0.006472191,0.011343402
0.013627468,-0.004112148,0.003019541,-0.007857643,-0.001801363,0.009370913,-0.005763314,0.015384993,0.00830524,0.007695966
-0.01120912,0.018792928,-0.019455974,0,-0.010081274,0.000666032,-0.021175097,-0.001091152,0.000767618,-0.007232452
-0.008896124,-0.00550884,-0.008587101,-0.012968253,0.004010117,-0.023578055,-0.005448765,-0.010976952,-0.014867914,-0.018549381
-0.019688968,-0.000690712,-0.007245083,0.004253058,-0.010986914,0.007470257,-0.005546656,-0.014452754,-0.008061179,-0.005521851
-0.006650003,0.012057497,0.013379391,0.010554188,0.01702953,-0.008834577,0.001762048,0.013348346,0.024168108,0.013357597
-0.00753455,-0.053759613,0.014769762,-0.019881374,0.005309025,0.012211837,-0.001626371,-0.013348346,-0.006922075,-0.019705778
0.008368276,0.00056017,-0.005757672,-0.012934683,0.019410433,-0.007034027,0.005343516,-0.008998963,0.006509208,0.007770989
